name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived
anuraghazra/github-readme-stats,FALSE,541,2,master,0,204,MIT License,229,44615,10759,1150,2020-07-09 10:34:22,2022-08-13 6:24:44,2022-08-16 7:08:10,https://github-readme-stats.vercel.app,JavaScript,752,91,1040,200,2022-08-13 6:24:44,4b6f4650b21a892b8ee1f57593b38efffed74155,FALSE,FALSE
ventoy/ventoy,FALSE,793,1,master,79,75,GNU General Public License v3.0,557,40792,2940,203309,2020-03-10 3:19:19,2022-10-26 7:27:56,2022-10-28 2:29:35,https://www.ventoy.net,C,1514,342,270,30,2022-10-26 7:27:51,7d90912a09e5a0f4d3f84fce6e09a8fa426f6294,TRUE,FALSE
textualize/rich,FALSE,3479,17,master,141,187,MIT License,539,40099,1375,49651,2019-11-10 3:28:09,2022-10-10 9:58:02,2022-10-10 9:49:04,https://rich.readthedocs.io/en/latest/,Python,916,50,818,14,2022-10-04 9:57:25,84e628655a2981ee90413ca3f35001ec3954161d,TRUE,FALSE
microsoft/playwright,FALSE,6696,32,main,56,181,Apache License 2.0,304,31832,1400,94671,2019-11-15 6:32:42,2022-01-01 6:23:02,2022-01-02 5:00:38,https://playwright.dev,TypeScript,3918,325,7000,29,2021-12-31 12:58:01,11e5b9bb9bd79d3c2c835d55866e1fd119ae255e,FALSE,FALSE
excalidraw/excalidraw,FALSE,2687,102,master,4,186,MIT License,249,30732,2512,35119,2020-01-02 1:04:43,2022-07-13 11:21:19,2022-07-14 12:40:22,https://excalidraw.com,TypeScript,1938,586,3347,134,2022-07-11 12:41:13,a7153d9d1d550f71bd8b1218f6e8245f043bc539,FALSE,FALSE
appflowy-io/appflowy,FALSE,3611,15,main,21,116,GNU Affero General Public License v3.0,273,29837,1695,37899,2021-06-16 12:56:48,2022-12-05 9:17:37,2022-12-05 12:42:16,https://www.appflowy.io,Dart,598,294,869,10,2022-12-05 9:17:33,64ee3140a301bcf9b995b614293bcafb8c0dd6cc,FALSE,FALSE
rustdesk/rustdesk,FALSE,2058,5,master,8,85,GNU Affero General Public License v3.0,291,28591,2517,10503,2020-09-28 3:36:08,2022-09-03 10:16:58,2022-09-03 11:17:20,https://rustdesk.com,Rust,775,298,365,7,2022-09-03 10:16:58,7e847ea071da56dd294ca92644fc2aaa4749ebbe,TRUE,FALSE
ultralytics/yolov5,FALSE,2103,36,master,8,240,GNU General Public License v3.0,311,28567,10117,12525,2020-05-18 3:45:11,2022-07-08 10:02:48,2022-07-10 6:29:46,https://ultralytics.com,Python,6002,321,1773,16,2022-07-08 12:32:40,526e650553819dbff67897b9c752c4072e989823,TRUE,FALSE
type-challenges/type-challenges,FALSE,706,33,main,0,147,MIT License,103,23929,2323,1985,2020-07-23 2:33:11,2022-09-08 9:40:33,2022-09-14 4:30:06,https://tsch.js.org/,TypeScript,15498,14155,457,23,2022-09-06 3:07:00,48346888871d9fdbbd7b315ad73a529987dd59a1,FALSE,FALSE
gofiber/fiber,FALSE,3309,8,master,98,235,MIT License,263,22677,1160,154713,2020-01-16 3:59:20,2022-10-07 1:48:23,2022-10-09 7:21:42,https://gofiber.io,Go,968,24,1158,9,2022-10-06 5:54:29,925d5d03dcf61e5d39b1fdbbbf94850c2065ddd6,FALSE,FALSE
slidevjs/slidev,FALSE,1215,17,main,200,83,MIT License,126,22653,865,71990,2021-04-24 1:25:23,2022-09-21 11:32:57,2022-09-27 3:14:41,https://sli.dev,TypeScript,442,42,195,3,2022-09-14 3:46:55,b55faff107e1f9712c6d56578168a27a5a434b5c,FALSE,FALSE
zeromicro/go-zero,FALSE,1626,5,master,73,161,MIT License,279,20836,3011,9948,2020-08-07 3:37:57,2022-10-07 4:52:03,2022-10-09 9:02:09,https://go-zero.dev,Go,987,108,1457,47,2022-10-07 2:42:24,7868667b4f176f63d1f77215b92d8fc9a3256eab,FALSE,FALSE
louislam/uptime-kuma,FALSE,3050,31,master,57,171,MIT License,136,20366,1626,10952,2021-07-03 1:02:42,2022-08-20 3:45:22,2022-08-22 9:13:52,https://uptime.kuma.pet,JavaScript,1343,645,648,60,2022-08-17 8:55:58,5c25354682bfbf9906772ee863bd3a556febedeb,TRUE,FALSE
vitejs/vite,FALSE,2175,4,main,138,182,MIT License,285,19468,1079,6592,2020-04-21 5:03:57,2021-02-21 3:25:01,2021-02-21 6:45:32,http://vitejs.dev/,TypeScript,1355,64,698,26,2021-02-21 2:14:34,2b19e3c2d36f87e84d8bf34982a06f573a56c008,TRUE,FALSE
rome/tools,FALSE,3416,32,main,30,162,MIT License,191,19214,584,152866,2020-02-20 5:57:33,2022-08-30 4:05:42,2022-08-31 4:01:56,https://rome.tools/,Rust,856,87,2193,12,2022-08-30 4:04:29,de04db12fe9017e3c226e454d30390fba316b1af,FALSE,FALSE
withfig/autocomplete,FALSE,3265,142,master,915,253,MIT License,69,18408,4291,20998,2020-09-29 2:21:06,2022-06-27 1:39:05,2022-06-27 3:51:30,https://fig.io,TypeScript,342,131,937,28,2022-06-24 12:16:08,abcd78fe44f0c9777ba5514753b92c013ef47faa,TRUE,FALSE
facebookexperimental/recoil,FALSE,835,22,main,23,79,MIT License,216,17182,924,41304,2020-05-04 7:44:15,2022-07-15 8:09:15,2022-07-16 3:06:31,https://recoiljs.org/,JavaScript,846,161,900,30,2022-07-14 12:15:45,c3d69478a68b4863c57c75d47d6f771278b28e27,FALSE,FALSE
remix-run/remix,FALSE,2561,32,main,83,365,MIT License,194,16760,1303,23641,2020-10-26 7:57:28,2022-05-26 2:39:33,2022-05-27 1:45:06,https://remix.run,TypeScript,917,194,1651,113,2022-05-23 9:24:22,dce27e2664de022f183f34f7a1e3034fa0e6d414,FALSE,FALSE
backstage/backstage,FALSE,27033,234,master,170,348,Apache License 2.0,192,16548,2527,1396171,2020-01-24 10:39:49,2022-05-30 12:46:19,2022-05-30 4:42:06,https://backstage.io,TypeScript,2860,450,8486,84,2022-05-27 2:47:39,6327a17180a14cf877c00b935311447c8013ed15,FALSE,FALSE
alpinejs/alpine,FALSE,1236,14,master,68,115,MIT License,217,16405,654,4446,2019-11-28 1:51:55,2021-06-05 8:56:39,2021-06-07 4:42:37,,JavaScript,513,45,355,5,2021-06-03 12:30:19,976cb53bd7ba9aa3b00ebebd03ca4ec074e7c016,FALSE,FALSE
jaidedai/easyocr,FALSE,554,1,master,20,94,Apache License 2.0,281,16138,2326,152290,2020-03-14 11:46:39,2022-10-19 3:38:47,2022-10-28 11:19:35,https://www.jaided.ai,Python,671,126,186,5,2022-10-13 3:13:21,f94dcffa5d49fccd7d203f0d8082a64a9bdf87f7,TRUE,FALSE
charmbracelet/bubbletea,FALSE,688,23,master,26,63,MIT License,99,16124,483,3151,2020-01-10 9:04:03,2022-12-01 5:02:19,2022-12-06 9:03:03,,Go,164,32,353,29,2022-11-18 1:17:42,79c76c680b1a6bae9cd9bc918c1d8eb336ee4ceb,TRUE,FALSE
spacedriveapp/spacedrive,FALSE,1223,25,main,0,49,GNU Affero General Public License v3.0,153,15783,411,55012,2021-09-27 5:09:04,2022-12-03 7:11:53,2022-12-04 6:34:42,https://spacedrive.com,Rust,117,33,285,7,2022-12-02 10:18:21,2baf16d982c704a4717699c8f7148a3634580859,TRUE,FALSE
surrealdb/surrealdb,FALSE,1906,3,main,8,28,Other,123,15519,356,11853,2021-12-09 3:03:29,2022-11-17 5:55:47,2022-11-18 9:31:00,https://surrealdb.com,Rust,272,136,94,17,2022-11-16 5:57:22,b8d485fe32910f50f3cefa8e025e0b1f6c94ccb5,FALSE,FALSE
codeeditapp/codeedit,FALSE,1423,4,main,0,72,MIT License,199,15369,717,9045,2022-03-10 9:28:14,2022-10-22 2:18:50,2022-10-24 2:29:03,https://codeedit.app,Swift,314,102,482,5,2022-10-13 2:24:57,29470d94f5fc3ad15b86e3dc4baca805dcee01ef,TRUE,FALSE
dotnet/maui,FALSE,9700,179,main,24,418,MIT License,664,15258,878,123763,2020-05-08 6:11:05,2022-05-15 5:31:05,2022-05-15 10:07:18,https://dot.net/maui,C#,3575,978,2762,44,2022-05-13 9:00:38,c7a04d78b817cc5caa93f2d0a458fa76c336b10e,TRUE,FALSE
jina-ai/jina,FALSE,7680,222,master,218,139,Apache License 2.0,179,15040,1931,697878,2020-02-13 5:04:44,2022-07-07 8:57:10,2022-07-07 8:02:25,https://docs.jina.ai,Python,1556,28,3395,6,2022-07-06 4:20:01,b2fa4fe54b85a51bb672b9030eb850678b81121c,FALSE,FALSE
qier222/yesplaymusic,FALSE,538,3,master,19,31,MIT License,174,14210,1986,28612,2020-10-09 10:04:21,2022-01-14 2:25:50,2022-01-16 6:14:36,https://music.qier222.com,JavaScript,990,207,193,3,2022-01-14 7:30:19,42f3da9b375a38c7db9aaf003456b73ceeeb3510,TRUE,FALSE
huggingface/datasets,FALSE,3014,141,main,53,430,Apache License 2.0,251,14008,1819,86015,2020-03-26 9:23:22,2022-08-29 9:45:42,2022-08-29 8:10:48,https://huggingface.co/docs/datasets,Python,1732,471,3100,117,2022-08-26 5:46:58,2e7142a3c6500b560da45e8d5128e320a09fcbd4,TRUE,FALSE
pyscript/pyscript,FALSE,509,20,main,2,78,Apache License 2.0,179,13958,991,8039,2022-02-21 4:55:20,2022-07-21 8:13:11,2022-07-24 9:42:42,https://community.anaconda.cloud/c/tech-topics/pyscript,TypeScript,332,166,290,31,2022-07-21 8:13:11,c49fdfc56c3d03369050831c88bf946218bf3012,TRUE,FALSE
werwolv/imhex,FALSE,1524,5,master,35,57,GNU General Public License v2.0,313,13911,714,16379,2020-11-10 2:27:00,2022-07-22 10:02:14,2022-07-22 4:10:16,https://imhex.werwolv.net,C++,390,46,180,5,2022-07-18 6:18:41,b6d7fd6984f43768b33b67fbdc8c088e5176fa3c,TRUE,FALSE
borisdayma/dalle-mini,FALSE,720,69,main,4,25,Apache License 2.0,105,13313,996,18721,2021-07-03 6:04:37,2022-11-09 6:18:30,2022-11-21 9:11:06,https://www.craiyon.com,Python,135,74,177,4,2022-11-09 6:18:27,26d1f266d37f0ff21c697700b9687e7dd8ae6a80,FALSE,FALSE
umami-software/umami,FALSE,1801,11,master,56,162,MIT License,100,13292,1981,5976,2020-07-17 7:59:00,2022-09-25 1:36:18,2022-09-27 3:43:18,https://umami.is,JavaScript,789,55,499,3,2022-09-12 9:38:10,0cb14f3f6c4fd542da0f20ae55849f88ce357d6d,TRUE,FALSE
remotion-dev/remotion,FALSE,6100,95,main,87,95,Other,75,13230,543,455415,2020-06-23 7:49:10,2022-06-16 9:26:27,2022-06-18 3:58:47,https://remotion.dev,TypeScript,439,50,575,11,2022-06-15 6:16:44,714a68f9e268bc894f892eb46ebe24de39e9a8d4,FALSE,FALSE
foambubble/foam,FALSE,924,28,master,65,112,Other,124,12832,538,51752,2020-06-19 5:04:10,2022-09-21 9:16:35,2022-09-27 4:21:05,https://foambubble.github.io/,TypeScript,539,109,517,5,2022-09-15 4:08:08,5a5f3b1ef02a709a95a36dca55d074100779db7a,TRUE,FALSE
medusajs/medusa,FALSE,1999,329,master,0,79,MIT License,112,12608,680,31515,2020-01-18 1:39:04,2022-06-30 12:36:34,2022-06-30 5:33:29,https://medusajs.com,JavaScript,526,98,1196,115,2022-06-28 10:23:39,de2390e5df8484207495fac05c93aa63d9111986,TRUE,FALSE
openbb-finance/openbbterminal,FALSE,3062,22,main,6,96,MIT License,199,12565,1368,598573,2020-12-20 10:46:38,2022-07-10 2:54:28,2022-07-10 2:46:08,https://openbb.co,Python,500,42,1438,12,2022-07-08 3:59:09,2c3e10a128fa0ce4e937d8d50dc0cd6d7cd11485,FALSE,FALSE
mantinedev/mantine,FALSE,7326,4,master,115,170,MIT License,65,12471,710,250157,2021-01-07 2:02:19,2022-07-15 2:59:26,2022-07-16 6:08:03,https://mantine.dev,TypeScript,625,75,623,16,2022-07-03 2:35:54,aac760de2678e749c3655614e1e24b288856770b,FALSE,FALSE
tooljet/tooljet,FALSE,2855,435,develop,53,183,GNU Affero General Public License v3.0,95,12254,983,471345,2021-03-30 8:51:34,2022-07-10 4:29:23,2022-07-11 2:15:54,https://tooljet.com,JavaScript,1627,208,1908,90,2022-07-08 2:06:30,a321ac9ee5be8ee265f05b11d90825be8848b564,FALSE,FALSE
dream-num/luckysheet,FALSE,1238,5,master,0,53,MIT License,193,12184,1670,25188,2020-05-15 7:24:59,2022-09-30 3:08:48,2022-10-04 1:36:47,https://dream-num.github.io/LuckysheetDocs/,JavaScript,820,531,276,10,2022-09-29 1:05:43,4731d8c554014391b128a5c36d36c2e11fa6c426,TRUE,FALSE
grasscutters/grasscutter,FALSE,1903,3,development,6,153,GNU Affero General Public License v3.0,160,11775,3814,42220,2022-04-17 12:43:46,2022-12-01 11:55:36,2022-12-07 3:33:43,https://grasscutter.io/,Java,851,61,981,4,2022-12-01 11:55:15,e73984bd414d6bdec335f5039c27803ca5771672,TRUE,FALSE
alist-org/alist,FALSE,1100,2,main,66,14,GNU Affero General Public License v3.0,76,11646,1754,2155,2020-12-23 5:40:29,2022-11-01 11:40:19,2022-11-02 8:04:17,https://alist.nn.ci,Go,1026,44,95,3,2022-11-01 11:32:40,7bfa5876ed6fc132c70f745801df366f68909422,TRUE,FALSE
extrawurst/gitui,FALSE,1808,6,master,46,75,MIT License,67,11567,355,50324,2020-03-16 2:38:01,2022-12-03 12:44:21,2022-12-05 11:08:04,,Rust,620,87,804,26,2022-12-02 7:08:04,c1305f47b2a5cc40d3404698ac0729d8a8789ed8,FALSE,FALSE
blitz-js/blitz,FALSE,2424,60,canary,343,270,MIT License,115,11551,667,112701,2020-02-17 9:54:15,2022-07-01 3:08:47,2022-07-02 6:55:36,https://Blitzjs.com,JavaScript,1263,207,1815,9,2022-06-30 9:05:37,e1fc695d24f6dd85eba8ffce9f88e357edfb562d,TRUE,FALSE
mattermost/focalboard,FALSE,2737,89,main,70,178,Other,108,11384,894,41839,2020-10-06 4:46:23,2022-06-18 5:28:32,2022-06-19 3:26:10,https://www.focalboard.com,TypeScript,1643,556,1493,55,2022-06-16 2:46:31,5d320f092ba26a7a7d2774b4b7c96b4bc4502791,TRUE,FALSE
manimcommunity/manim,FALSE,5595,3,main,21,313,MIT License,101,11249,964,34928,2020-05-19 2:37:13,2022-09-19 5:48:35,2022-09-23 8:00:49,https://www.manim.community,Python,1105,269,1699,30,2022-09-18 7:33:20,44f78f1dfdd7498542869fc06bb39619f2b2d57b,TRUE,FALSE
beyonddimension/steamtools,FALSE,3620,89,develop,36,10,GNU General Public License v3.0,72,11063,706,225918,2020-12-15 1:52:11,2022-11-17 11:04:29,2022-11-20 7:25:52,https://steampp.net,C#,1179,416,1026,82,2022-11-16 9:17:35,a81f1d54f13fe4b854c062f69a062c5b88303e8c,TRUE,FALSE
projectdiscovery/nuclei,FALSE,3447,30,master,61,77,MIT License,179,10615,1496,18052,2020-04-03 6:47:11,2022-11-18 5:07:18,2022-11-19 10:13:37,https://nuclei.projectdiscovery.io,Go,1268,179,1284,19,2022-11-17 10:29:05,05d607642a11449262fba8d079025dc5325dec8d,TRUE,FALSE
colinhacks/zod,FALSE,1557,44,master,59,147,MIT License,27,10601,381,4006,2020-03-07 8:59:08,2022-08-19 2:11:12,2022-08-23 5:35:05,https://zod.dev,TypeScript,781,77,320,15,2022-08-09 10:23:01,59768246aa57133184b2cf3f7c2a1ba5c3ab08c3,TRUE,FALSE
charmbracelet/glow,FALSE,677,7,master,17,23,MIT License,67,10533,224,2760,2019-11-04 11:34:55,2022-11-18 1:23:01,2022-11-19 6:46:36,,Go,162,59,161,18,2022-11-18 1:23:00,400f3f8e1f187857d20dc1613d4e840c32c04bfd,TRUE,FALSE